nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -18.004079818725586
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/rl/train_a2c_mc.py:520: RuntimeWarning: invalid value encountered in double_scalars
  _val_ave_gcn = np.sum(val_gcn_greedy) / len(val_gcn_greedy)
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/rl/train_a2c_mc.py:526: RuntimeWarning: invalid value encountered in double_scalars
  _val_ave_mind = np.sum(val_mind) / len(val_mind)
epochs 154 loss -12.983281135559082
epochs 155 loss -26.65890884399414
epochs 156 loss -48.817413330078125
epochs 157 loss -35.57994842529297
epochs 158 loss -36.263431549072266
epochs 159 loss -35.288429260253906
epochs 160 loss -43.47856903076172
epochs 161 loss -66.99079132080078
epochs 162 loss -43.84968185424805
epochs 163 loss -22.073150634765625
epochs 164 loss -42.55513381958008
epochs 165 loss -36.33958435058594
epochs 166 loss -53.798316955566406
epochs 167 loss -60.234745025634766
epochs 168 loss -10.145998001098633
epochs 169 loss -2.62477707862854
epochs 170 loss -20.56800079345703
epochs 171 loss -18.01861572265625
epochs 172 loss -21.61556053161621
epochs 173 loss -52.21434020996094
epochs 174 loss -40.32441329956055
epochs 175 loss -70.4947280883789
epochs 176 loss -17.479442596435547
epochs 177 loss -52.74418258666992
epochs 178 loss -46.35148620605469
epochs 179 loss -18.627967834472656
epochs 180 loss -23.5008544921875
epochs 181 loss -4.054356098175049
epochs 182 loss -31.802135467529297
epochs 183 loss -27.13111686706543
epochs 184 loss -19.09593963623047
epochs 185 loss -6.893500328063965
epochs 186 loss -40.23177719116211
epochs 187 loss -34.661415100097656
epochs 188 loss -26.88448715209961
