nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Training started
Use Critic:
False
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -11.612160682678223
epochs 0 loss -10.71567440032959
epochs 0 loss -11.84060001373291
epochs 0 loss -13.270469665527344
epochs 0 loss -11.910139083862305
epochs 0 loss -13.857190132141113
epochs 0 loss -12.236907005310059
epochs 0 loss -12.060276985168457
epochs 0 loss -13.483292579650879
epochs 0 loss -12.968727111816406
epoch 0000 gcn2mind min_ratio 1.0736543909348442 max_ratio 1.1241217798594847 av_ratio 1.1004628642631473
epochs 1 loss -12.850386619567871
epochs 1 loss -12.395113945007324
epochs 1 loss -13.839710235595703
epochs 1 loss -13.27220344543457
epochs 1 loss -15.146781921386719
epochs 1 loss -13.589700698852539
epochs 1 loss -14.908204078674316
epochs 1 loss -13.041780471801758
epochs 1 loss -10.913664817810059
epochs 1 loss -12.798356056213379
epoch 0001 gcn2mind min_ratio 1.0923076923076922 max_ratio 1.1500386697602474 av_ratio 1.108870974267111
epochs 2 loss -11.989479064941406
epochs 2 loss -13.221526145935059
epochs 2 loss -13.315814018249512
epochs 2 loss -12.782478332519531
epochs 2 loss -14.2344388961792
epochs 2 loss -13.713942527770996
epochs 2 loss -12.461658477783203
epochs 2 loss -12.411405563354492
epochs 2 loss -12.986424446105957
epochs 2 loss -13.0001859664917
epoch 0002 gcn2mind min_ratio 1.0637795275590551 max_ratio 1.138544891640867 av_ratio 1.1018270494343898
epochs 3 loss -13.078588485717773
epochs 3 loss -12.509753227233887
epochs 3 loss -14.043450355529785
epochs 3 loss -12.925128936767578
epochs 3 loss -12.954977035522461
epochs 3 loss -16.455400466918945
epochs 3 loss -13.320836067199707
epochs 3 loss -14.96387004852295
epochs 3 loss -13.673910140991211
epochs 3 loss -12.64214038848877
epoch 0003 gcn2mind min_ratio 1.0817610062893082 max_ratio 1.1272443403590944 av_ratio 1.1011627096029044
epochs 4 loss -13.985481262207031
epochs 4 loss -13.764519691467285
epochs 4 loss -13.75955581665039
epochs 4 loss -13.975663185119629
epochs 4 loss -12.354695320129395
epochs 4 loss -12.50519847869873
epochs 4 loss -13.652056694030762
epochs 4 loss -12.505542755126953
epochs 4 loss -13.867246627807617
epochs 4 loss -14.151880264282227
epoch 0004 gcn2mind min_ratio 1.0679970436067998 max_ratio 1.145398298530549 av_ratio 1.107497406265341
epochs 5 loss -13.816234588623047
epochs 5 loss -13.347610473632812
epochs 5 loss -13.290441513061523
epochs 5 loss -12.324577331542969
epochs 5 loss -15.045225143432617
epochs 5 loss -12.153176307678223
epochs 5 loss -13.549878120422363
epochs 5 loss -12.079825401306152
epochs 5 loss -12.984465599060059
epochs 5 loss -13.235291481018066
epoch 0005 gcn2mind min_ratio 1.084251968503937 max_ratio 1.1377708978328174 av_ratio 1.1079895236986244
epochs 6 loss -12.702047348022461
epochs 6 loss -14.257967948913574
epochs 6 loss -13.242622375488281
epochs 6 loss -13.405460357666016
epochs 6 loss -13.743101119995117
epochs 6 loss -12.772666931152344
epochs 6 loss -14.126754760742188
epochs 6 loss -13.127847671508789
epochs 6 loss -13.772238731384277
epochs 6 loss -13.58078670501709
epoch 0006 gcn2mind min_ratio 1.0794025157232705 max_ratio 1.141607000795545 av_ratio 1.105819851709788
epochs 7 loss -13.344452857971191
epochs 7 loss -12.764986038208008
epochs 7 loss -14.33224105834961
epochs 7 loss -12.566710472106934
epochs 7 loss -13.177495956420898
epochs 7 loss -14.073409080505371
epochs 7 loss -14.187143325805664
epochs 7 loss -14.693114280700684
epochs 7 loss -13.227057456970215
epochs 7 loss -13.740604400634766
epoch 0007 gcn2mind min_ratio 1.090169992609017 max_ratio 1.1323529411764706 av_ratio 1.1073315818305427
epochs 8 loss -12.063435554504395
epochs 8 loss -13.079530715942383
epochs 8 loss -14.706727981567383
epochs 8 loss -14.181009292602539
epochs 8 loss -13.499923706054688
epochs 8 loss -12.331873893737793
epochs 8 loss -12.267993927001953
epochs 8 loss -12.928102493286133
epochs 8 loss -12.596116065979004
epochs 8 loss -14.406547546386719
epoch 0008 gcn2mind min_ratio 1.061369000786782 max_ratio 1.136085626911315 av_ratio 1.098230877505929
epochs 9 loss -13.090851783752441
epochs 9 loss -12.863275527954102
epochs 9 loss -12.240392684936523
epochs 9 loss -13.677911758422852
epochs 9 loss -13.352649688720703
epochs 9 loss -13.599859237670898
epochs 9 loss -13.498403549194336
epochs 9 loss -12.515851020812988
epochs 9 loss -13.90989875793457
epochs 9 loss -11.692963600158691
epoch 0009 gcn2mind min_ratio 1.084251968503937 max_ratio 1.1286048324240063 av_ratio 1.1039698702983347
epochs 10 loss -13.090958595275879
epochs 10 loss -12.975653648376465
epochs 10 loss -12.633476257324219
epochs 10 loss -13.663460731506348
epochs 10 loss -12.481222152709961
epochs 10 loss -13.569879531860352
epochs 10 loss -13.083664894104004
epochs 10 loss -14.179400444030762
epochs 10 loss -12.592134475708008
epochs 10 loss -14.007669448852539
epoch 0010 gcn2mind min_ratio 1.0752521334367726 max_ratio 1.113076923076923 av_ratio 1.0999337915618557
epochs 11 loss -12.752159118652344
epochs 11 loss -13.251550674438477
epochs 11 loss -14.126935958862305
epochs 11 loss -13.159184455871582
epochs 11 loss -13.390130043029785
epochs 11 loss -12.822004318237305
epochs 11 loss -12.679414749145508
epochs 11 loss -12.057663917541504
epochs 11 loss -12.776907920837402
epochs 11 loss -13.353198051452637
epoch 0011 gcn2mind min_ratio 1.0845616757176106 max_ratio 1.1261467889908257 av_ratio 1.107539055218528
epochs 12 loss -14.414718627929688
epochs 12 loss -13.416644096374512
epochs 12 loss -12.403974533081055
epochs 12 loss -13.684988021850586
epochs 12 loss -13.46163558959961
epochs 12 loss -13.819910049438477
epochs 12 loss -13.627636909484863
epochs 12 loss -14.012256622314453
epochs 12 loss -12.766817092895508
epochs 12 loss -12.89766788482666
epoch 0012 gcn2mind min_ratio 1.078740157480315 max_ratio 1.137957911145752 av_ratio 1.1094686014191648
epochs 13 loss -13.983853340148926
epochs 13 loss -13.61513614654541
epochs 13 loss -13.791322708129883
epochs 13 loss -14.651837348937988
epochs 13 loss -13.207213401794434
epochs 13 loss -12.978805541992188
epochs 13 loss -12.746565818786621
epochs 13 loss -13.472794532775879
epochs 13 loss -12.635539054870605
epochs 13 loss -13.051070213317871
epoch 0013 gcn2mind min_ratio 1.0590551181102361 max_ratio 1.1236220472440945 av_ratio 1.1024484354786206
epochs 14 loss -13.178010940551758
epochs 14 loss -13.887419700622559
epochs 14 loss -13.617803573608398
epochs 14 loss -12.244104385375977
