nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -1140.7723388671875
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 161 loss -1237.2198791503906
epochs 162 loss -1175.4995422363281
epochs 163 loss -1076.7240905761719
epochs 164 loss -1723.2111511230469
epochs 165 loss -1423.522216796875
epochs 166 loss -1902.5849609375
epochs 167 loss -1888.7091979980469
epochs 168 loss -1288.1336975097656
epochs 169 loss -1155.7572937011719
epochs 170 loss -1241.2471008300781
epochs 171 loss -1162.6209411621094
epochs 172 loss -1205.595947265625
epochs 173 loss -945.7121276855469
epochs 174 loss -1680.2457580566406
epochs 175 loss -1434.1846618652344
epochs 176 loss -1457.6291809082031
epochs 177 loss -1138.4953002929688
epochs 178 loss -1178.6259765625
epochs 179 loss -1363.11669921875
epochs 180 loss -1085.4052734375
epochs 181 loss -1172.7294616699219
epochs 182 loss -1338.46533203125
epochs 183 loss -1222.7970886230469
epochs 184 loss -1540.8489074707031
epochs 185 loss -1116.8629760742188
epochs 186 loss -1066.3919982910156
epochs 187 loss -1166.9473571777344
epochs 188 loss -1037.4425659179688
epochs 189 loss -1250.179443359375
epochs 190 loss -1056.2913513183594
epochs 191 loss -1234.8218383789062
epochs 192 loss -1337.3478698730469
epochs 193 loss -1219.4322814941406
epochs 194 loss -2034.7467041015625
epochs 195 loss -1109.7982177734375
epochs 196 loss -1373.5561218261719
epochs 197 loss -4771.453643798828
epochs 198 loss -1188.4749450683594
epochs 199 loss -1147.2415161132812
epochs 200 loss -1375.9171142578125
epochs 201 loss -1390.0540466308594
epochs 202 loss -2812.0777587890625
epochs 203 loss -1260.7440185546875
epochs 204 loss -1090.0000610351562
epochs 205 loss -1237.436279296875
epochs 206 loss -1372.5240783691406
epochs 207 loss -1227.2788391113281
epochs 208 loss -1130.5564880371094
epochs 209 loss -1230.0067138671875
epochs 210 loss -1249.8167419433594
epochs 211 loss -1207.2659301757812
epochs 212 loss -1280.9174194335938
epochs 213 loss -1115.7403259277344
epochs 214 loss -1486.57568359375
epochs 215 loss -1619.2652893066406
epochs 216 loss -1352.4955444335938
epochs 217 loss -1028.6286010742188
epochs 218 loss -1201.6900024414062
epochs 219 loss -1316.9866333007812
epochs 220 loss -1217.8184204101562
epochs 221 loss -1237.0809631347656
epochs 222 loss -1278.2133483886719
epochs 223 loss -1210.18115234375
epochs 224 loss -1063.2143249511719
epochs 225 loss -1089.7177124023438
epochs 226 loss -2683.4664001464844
epochs 227 loss -1006.5713195800781
epochs 228 loss -2055.649658203125
epochs 229 loss -1214.5505065917969
epochs 230 loss -1214.013671875
epochs 231 loss -1894.42333984375
