nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Training started
Use Critic:
False
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 13 loss -13.207213401794434
epochs 13 loss -12.978805541992188
epochs 13 loss -12.746565818786621
epochs 13 loss -13.472794532775879
epochs 13 loss -12.635539054870605
epochs 13 loss -13.051070213317871
epoch 0013 gcn2mind min_ratio 1.0590551181102361 max_ratio 1.1236220472440945 av_ratio 1.1024484354786206
epochs 14 loss -13.178010940551758
epochs 14 loss -13.887419700622559
epochs 14 loss -13.617803573608398
epochs 14 loss -12.244104385375977
epochs 14 loss -12.72922134399414
epochs 14 loss -13.303674697875977
epochs 14 loss -13.658034324645996
epochs 14 loss -13.038994789123535
epochs 14 loss -14.15373420715332
epochs 14 loss -12.96057415008545
epoch 0014 gcn2mind min_ratio 1.0590551181102361 max_ratio 1.119969040247678 av_ratio 1.0948320176143886
epochs 15 loss -13.394604682922363
epochs 15 loss -14.784908294677734
epochs 15 loss -14.466792106628418
epochs 15 loss -14.906656265258789
epochs 15 loss -13.737381935119629
epochs 15 loss -13.76956558227539
epochs 15 loss -13.708954811096191
epochs 15 loss -13.183418273925781
epochs 15 loss -13.079157829284668
epochs 15 loss -13.472665786743164
epoch 0015 gcn2mind min_ratio 1.0503937007874016 max_ratio 1.1408450704225352 av_ratio 1.1034433925848655
epochs 16 loss -12.560539245605469
epochs 16 loss -13.266193389892578
epochs 16 loss -13.209497451782227
epochs 16 loss -12.721650123596191
epochs 16 loss -13.5247163772583
epochs 16 loss -12.65871524810791
epochs 16 loss -12.730606079101562
epochs 16 loss -13.113341331481934
epochs 16 loss -12.75313949584961
epochs 16 loss -14.26651668548584
epoch 0016 gcn2mind min_ratio 1.0761565836298932 max_ratio 1.1415313225058004 av_ratio 1.1028831359463047
epochs 17 loss -12.987325668334961
epochs 17 loss -13.422178268432617
epochs 17 loss -14.382719993591309
epochs 17 loss -14.73282241821289
epochs 17 loss -13.535778045654297
epochs 17 loss -13.06209945678711
epochs 17 loss -14.616776466369629
epochs 17 loss -11.406365394592285
epochs 17 loss -12.674444198608398
epochs 17 loss -13.561958312988281
epoch 0017 gcn2mind min_ratio 1.0714285714285714 max_ratio 1.1424148606811146 av_ratio 1.1080382505874895
epochs 18 loss -12.241576194763184
epochs 18 loss -13.567487716674805
epochs 18 loss -14.71030044555664
epochs 18 loss -13.837060928344727
epochs 18 loss -14.239123344421387
epochs 18 loss -13.45592212677002
epochs 18 loss -14.683588981628418
epochs 18 loss -14.327491760253906
epochs 18 loss -13.761223793029785
epochs 18 loss -12.626473426818848
epoch 0018 gcn2mind min_ratio 1.0803149606299212 max_ratio 1.129204892966361 av_ratio 1.1042263911745214
epochs 19 loss -12.28039836883545
epochs 19 loss -12.340396881103516
epochs 19 loss -12.632852554321289
epochs 19 loss -12.89837646484375
epochs 19 loss -13.45983600616455
epochs 19 loss -15.374281883239746
epochs 19 loss -12.698041915893555
epochs 19 loss -12.098840713500977
epochs 19 loss -13.568642616271973
epochs 19 loss -12.792624473571777
epoch 0019 gcn2mind min_ratio 1.0715384615384616 max_ratio 1.1293842556508185 av_ratio 1.103158028854836
epochs 20 loss -13.67885971069336
epochs 20 loss -13.652390480041504
epochs 20 loss -13.932711601257324
epochs 20 loss -13.199844360351562
epochs 20 loss -14.49901008605957
epochs 20 loss -13.206079483032227
epochs 20 loss -13.338661193847656
epochs 20 loss -15.242655754089355
epochs 20 loss -13.470270156860352
epochs 20 loss -13.313977241516113
epoch 0020 gcn2mind min_ratio 1.0817307692307692 max_ratio 1.1424025457438345 av_ratio 1.102641975535994
epochs 21 loss -14.216346740722656
epochs 21 loss -13.316266059875488
epochs 21 loss -13.462559700012207
epochs 21 loss -11.79418659210205
epochs 21 loss -12.509580612182617
epochs 21 loss -12.695818901062012
epochs 21 loss -12.822185516357422
epochs 21 loss -13.94870376586914
epochs 21 loss -12.60993480682373
epochs 21 loss -12.91220474243164
epoch 0021 gcn2mind min_ratio 1.0841346153846154 max_ratio 1.1145752143413874 av_ratio 1.101714599182285
epochs 22 loss -14.334956169128418
epochs 22 loss -13.031545639038086
epochs 22 loss -13.52885913848877
epochs 22 loss -13.433267593383789
epochs 22 loss -13.983123779296875
epochs 22 loss -12.95844554901123
epochs 22 loss -12.132115364074707
epochs 22 loss -13.416109085083008
epochs 22 loss -14.247976303100586
epochs 22 loss -13.427988052368164
epoch 0022 gcn2mind min_ratio 1.0753205128205128 max_ratio 1.1293842556508185 av_ratio 1.1070624214583706
epochs 23 loss -13.42782211303711
epochs 23 loss -13.909296035766602
epochs 23 loss -13.317254066467285
epochs 23 loss -12.805524826049805
epochs 23 loss -13.64969253540039
epochs 23 loss -13.006103515625
epochs 23 loss -12.997416496276855
epochs 23 loss -12.523689270019531
epochs 23 loss -12.586410522460938
epochs 23 loss -12.986100196838379
epoch 0023 gcn2mind min_ratio 1.0825622775800712 max_ratio 1.1223694466095089 av_ratio 1.1045477804619424
epochs 24 loss -12.929428100585938
epochs 24 loss -13.315065383911133
epochs 24 loss -13.954398155212402
epochs 24 loss -13.954853057861328
epochs 24 loss -14.288885116577148
epochs 24 loss -13.597015380859375
epochs 24 loss -12.699583053588867
epochs 24 loss -13.45803451538086
epochs 24 loss -12.924850463867188
epochs 24 loss -12.475557327270508
epoch 0024 gcn2mind min_ratio 1.0703789636504253 max_ratio 1.1309431021044427 av_ratio 1.100407855805252
epochs 25 loss -12.437575340270996
