nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Training started
Use Critic:
False
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -11.612160682678223
epochs 0 loss -10.499480247497559
epochs 0 loss -11.537178993225098
epochs 0 loss -13.188621520996094
epochs 0 loss -11.476536750793457
epochs 0 loss -9.761550903320312
epochs 0 loss -11.980834007263184
epochs 0 loss -14.837737083435059
epochs 0 loss -11.2693510055542
epochs 0 loss -13.548096656799316
epoch 0000 gcn2mind min_ratio 1.0654804270462634 max_ratio 1.1261467889908257 av_ratio 1.1050776534237357
epochs 1 loss -12.104941368103027
epochs 1 loss -11.641005516052246
epochs 1 loss -13.601734161376953
epochs 1 loss -13.255945205688477
epochs 1 loss -16.42574119567871
epochs 1 loss -14.498559951782227
epochs 1 loss -15.39815616607666
epochs 1 loss -11.020940780639648
epochs 1 loss -12.685925483703613
epochs 1 loss -10.909833908081055
epoch 0001 gcn2mind min_ratio 1.0876249039200614 max_ratio 1.1455847255369929 av_ratio 1.1093202973094298
epochs 2 loss -10.700743675231934
epochs 2 loss -12.158190727233887
epochs 2 loss -13.441247940063477
epochs 2 loss -11.68813705444336
epochs 2 loss -11.295522689819336
epochs 2 loss -14.0329008102417
epochs 2 loss -12.058755874633789
epochs 2 loss -13.294604301452637
epochs 2 loss -12.389731407165527
epochs 2 loss -11.757241249084473
epoch 0002 gcn2mind min_ratio 1.0832678711704635 max_ratio 1.1253822629969419 av_ratio 1.1062782468033374
epochs 3 loss -12.457151412963867
epochs 3 loss -12.364612579345703
epochs 3 loss -14.580659866333008
epochs 3 loss -13.1941499710083
epochs 3 loss -10.677262306213379
epochs 3 loss -17.91824722290039
epochs 3 loss -13.601189613342285
epochs 3 loss -13.599945068359375
epochs 3 loss -11.677733421325684
epochs 3 loss -16.122634887695312
epoch 0003 gcn2mind min_ratio 1.0825622775800712 max_ratio 1.1455108359133126 av_ratio 1.1056334606693792
epochs 4 loss -16.507722854614258
epochs 4 loss -12.733424186706543
epochs 4 loss -15.251514434814453
epochs 4 loss -13.39853286743164
epochs 4 loss -12.715049743652344
epochs 4 loss -9.887959480285645
epochs 4 loss -11.89804744720459
epochs 4 loss -12.35184097290039
epochs 4 loss -11.659866333007812
epochs 4 loss -13.977155685424805
epoch 0004 gcn2mind min_ratio 1.0885167464114833 max_ratio 1.1340607950116914 av_ratio 1.112931532620217
epochs 5 loss -15.684951782226562
epochs 5 loss -12.496503829956055
epochs 5 loss -13.791726112365723
epochs 5 loss -13.383636474609375
epochs 5 loss -15.78400707244873
epochs 5 loss -10.636698722839355
epochs 5 loss -14.44969654083252
epochs 5 loss -10.520126342773438
epochs 5 loss -12.52578353881836
epochs 5 loss -10.424898147583008
epoch 0005 gcn2mind min_ratio 1.0825622775800712 max_ratio 1.1334894613583137 av_ratio 1.110739961549541
epochs 6 loss -10.834979057312012
epochs 6 loss -14.008105278015137
epochs 6 loss -15.800487518310547
epochs 6 loss -12.388144493103027
epochs 6 loss -11.709785461425781
epochs 6 loss -13.40384578704834
epochs 6 loss -13.252731323242188
epochs 6 loss -11.74226188659668
epochs 6 loss -11.688172340393066
epochs 6 loss -12.257292747497559
epoch 0006 gcn2mind min_ratio 1.0771954674220963 max_ratio 1.1254871395167576 av_ratio 1.104376443157806
epochs 7 loss -15.909385681152344
epochs 7 loss -11.51213264465332
epochs 7 loss -11.314777374267578
epochs 7 loss -11.482294082641602
epochs 7 loss -11.631509780883789
epochs 7 loss -13.674781799316406
epochs 7 loss -12.475371360778809
epochs 7 loss -12.947394371032715
epochs 7 loss -12.868853569030762
epochs 7 loss -15.743694305419922
epoch 0007 gcn2mind min_ratio 1.0841194968553458 max_ratio 1.1353441608662027 av_ratio 1.1087331569850947
epochs 8 loss -12.090561866760254
epochs 8 loss -12.895469665527344
epochs 8 loss -16.967411041259766
epochs 8 loss -15.355452537536621
epochs 8 loss -12.7003812789917
epochs 8 loss -12.073676109313965
epochs 8 loss -10.737419128417969
epochs 8 loss -11.979131698608398
epochs 8 loss -11.372457504272461
epochs 8 loss -14.392111778259277
epoch 0008 gcn2mind min_ratio 1.075310559006211 max_ratio 1.135321100917431 av_ratio 1.1108790674493012
epochs 9 loss -14.010826110839844
epochs 9 loss -13.967962265014648
epochs 9 loss -10.77729606628418
epochs 9 loss -18.556991577148438
epochs 9 loss -13.354955673217773
epochs 9 loss -13.740428924560547
epochs 9 loss -12.98475170135498
epochs 9 loss -10.921951293945312
epochs 9 loss -17.953638076782227
epochs 9 loss -11.61894702911377
epoch 0009 gcn2mind min_ratio 1.07 max_ratio 1.131477184841454 av_ratio 1.1077943101099388
epochs 10 loss -11.391070365905762
epochs 10 loss -11.843416213989258
epochs 10 loss -11.568424224853516
epochs 10 loss -12.853996276855469
epochs 10 loss -9.460500717163086
epochs 10 loss -10.016168594360352
epochs 10 loss -14.103751182556152
epochs 10 loss -14.864667892456055
epochs 10 loss -13.197001457214355
epochs 10 loss -11.898550033569336
epoch 0010 gcn2mind min_ratio 1.1016291698991467 max_ratio 1.1408668730650156 av_ratio 1.1135637577470638
epochs 11 loss -11.112605094909668
epochs 11 loss -13.512170791625977
epochs 11 loss -12.676216125488281
epochs 11 loss -12.679543495178223
epochs 11 loss -14.433256149291992
epochs 11 loss -12.291045188903809
epochs 11 loss -11.538145065307617
epochs 11 loss -10.469710350036621
epochs 11 loss -12.763264656066895
epochs 11 loss -11.601037979125977
epoch 0011 gcn2mind min_ratio 1.0881889763779529 max_ratio 1.1246177370030581 av_ratio 1.1118369001515944
epochs 12 loss -13.485162734985352
epochs 12 loss -14.433501243591309
epochs 12 loss -13.627420425415039
epochs 12 loss -11.957237243652344
epochs 12 loss -13.473094940185547
epochs 12 loss -14.446206092834473
epochs 12 loss -12.166950225830078
epochs 12 loss -14.060596466064453
epochs 12 loss -12.267049789428711
epochs 12 loss -12.937384605407715
epoch 0012 gcn2mind min_ratio 1.0953846153846154 max_ratio 1.1479713603818615 av_ratio 1.1169522504703955
epochs 13 loss -11.746938705444336
epochs 13 loss -12.89728832244873
epochs 13 loss -11.78017807006836
epochs 13 loss -12.01505184173584
epochs 13 loss -12.509450912475586
epochs 13 loss -13.45560073852539
epochs 13 loss -13.153494834899902
epochs 13 loss -14.943109512329102
epochs 13 loss -11.056880950927734
epochs 13 loss -11.066842079162598
epoch 0013 gcn2mind min_ratio 1.0709728867623605 max_ratio 1.126771653543307 av_ratio 1.105472690237923
epochs 14 loss -16.724227905273438
epochs 14 loss -12.384573936462402
epochs 14 loss -13.416068077087402
epochs 14 loss -10.840021133422852
epochs 14 loss -12.743325233459473
epochs 14 loss -11.836345672607422
epochs 14 loss -12.2692289352417
epochs 14 loss -12.282958030700684
epochs 14 loss -16.107711791992188
epochs 14 loss -13.929876327514648
epoch 0014 gcn2mind min_ratio 1.076086956521739 max_ratio 1.126063418406806 av_ratio 1.0974648711847652
epochs 15 loss -12.614190101623535
epochs 15 loss -11.393943786621094
epochs 15 loss -14.111523628234863
epochs 15 loss -16.769371032714844
epochs 15 loss -13.67023754119873
epochs 15 loss -13.714191436767578
epochs 15 loss -13.253707885742188
epochs 15 loss -14.414227485656738
epochs 15 loss -11.627050399780273
epochs 15 loss -13.487077713012695
epoch 0015 gcn2mind min_ratio 1.0805422647527911 max_ratio 1.1309431021044427 av_ratio 1.1108890290789095
epochs 16 loss -13.582996368408203
epochs 16 loss -11.604522705078125
epochs 16 loss -12.975054740905762
epochs 16 loss -14.639704704284668
epochs 16 loss -14.236628532409668
epochs 16 loss -11.996626853942871
epochs 16 loss -13.419988632202148
epochs 16 loss -12.278411865234375
epochs 16 loss -12.52987289428711
epochs 16 loss -13.588441848754883
epoch 0016 gcn2mind min_ratio 1.0773524720893142 max_ratio 1.1276758409785932 av_ratio 1.1045035763220863
epochs 17 loss -11.183032989501953
epochs 17 loss -14.293670654296875
epochs 17 loss -15.116328239440918
epochs 17 loss -12.717033386230469
epochs 17 loss -11.59678840637207
epochs 17 loss -16.128780364990234
epochs 17 loss -12.665472030639648
epochs 17 loss -9.484230995178223
epochs 17 loss -11.164170265197754
epochs 17 loss -12.564414024353027
epoch 0017 gcn2mind min_ratio 1.098193244304792 max_ratio 1.1373926619828258 av_ratio 1.109259424886947
epochs 18 loss -10.28101921081543
epochs 18 loss -17.29678726196289
epochs 18 loss -16.77042007446289
epochs 18 loss -11.883026123046875
epochs 18 loss -14.679516792297363
epochs 18 loss -12.747380256652832
epochs 18 loss -14.865946769714355
epochs 18 loss -16.338787078857422
epochs 18 loss -12.534037590026855
epochs 18 loss -14.761788368225098
epoch 0018 gcn2mind min_ratio 1.0669291338582678 max_ratio 1.129204892966361 av_ratio 1.1048832651851968
epochs 19 loss -9.973862648010254
epochs 19 loss -11.441963195800781
epochs 19 loss -11.931009292602539
epochs 19 loss -11.777264595031738
epochs 19 loss -12.555145263671875
epochs 19 loss -19.308631896972656
epochs 19 loss -12.6991605758667
epochs 19 loss -10.77869701385498
epochs 19 loss -12.42724609375
epochs 19 loss -12.478490829467773
epoch 0019 gcn2mind min_ratio 1.0770440251572326 max_ratio 1.132501948558067 av_ratio 1.1103471679228138
epochs 20 loss -11.815630912780762
epochs 20 loss -14.864688873291016
epochs 20 loss -14.579316139221191
epochs 20 loss -11.947258949279785
epochs 20 loss -11.657073020935059
epochs 20 loss -11.962525367736816
epochs 20 loss -13.31619644165039
epochs 20 loss -14.997010231018066
epochs 20 loss -13.194184303283691
epochs 20 loss -11.862109184265137
epoch 0020 gcn2mind min_ratio 1.0800293685756241 max_ratio 1.1424148606811146 av_ratio 1.1046303920941898
epochs 21 loss -15.370012283325195
epochs 21 loss -12.806661605834961
epochs 21 loss -12.135324478149414
epochs 21 loss -16.119457244873047
epochs 21 loss -11.898195266723633
epochs 21 loss -14.76314640045166
epochs 21 loss -12.06362533569336
epochs 21 loss -16.08702278137207
epochs 21 loss -11.551813125610352
epochs 21 loss -11.116045951843262
epoch 0021 gcn2mind min_ratio 1.0723076923076924 max_ratio 1.1424148606811146 av_ratio 1.1038218429419147
epochs 22 loss -14.614242553710938
epochs 22 loss -14.119654655456543
epochs 22 loss -12.099690437316895
epochs 22 loss -13.514738082885742
epochs 22 loss -14.887460708618164
epochs 22 loss -12.150240898132324
epochs 22 loss -13.04946517944336
epochs 22 loss -14.545745849609375
epochs 22 loss -18.510725021362305
epochs 22 loss -14.00491714477539
epoch 0022 gcn2mind min_ratio 1.0940988835725678 max_ratio 1.137957911145752 av_ratio 1.1120108322085862
epochs 23 loss -13.081838607788086
epochs 23 loss -11.596485137939453
epochs 23 loss -12.831366539001465
epochs 23 loss -12.102273941040039
epochs 23 loss -11.446969985961914
epochs 23 loss -15.225340843200684
epochs 23 loss -13.327302932739258
epochs 23 loss -11.778252601623535
epochs 23 loss -11.173696517944336
epochs 23 loss -12.33611011505127
epoch 0023 gcn2mind min_ratio 1.096085409252669 max_ratio 1.144736842105263 av_ratio 1.1100576884017648
epochs 24 loss -15.3208589553833
epochs 24 loss -15.215604782104492
epochs 24 loss -12.062042236328125
epochs 24 loss -12.738335609436035
epochs 24 loss -17.33979606628418
epochs 24 loss -13.18989372253418
epochs 24 loss -11.715993881225586
epochs 24 loss -18.32396697998047
epochs 24 loss -12.367202758789062
epochs 24 loss -12.992451667785645
epoch 0024 gcn2mind min_ratio 1.077339520494973 max_ratio 1.1309431021044427 av_ratio 1.1033904260937182
epochs 25 loss -10.690550804138184
epochs 25 loss -15.527922630310059
epochs 25 loss -11.219670295715332
epochs 25 loss -15.46102523803711
epochs 25 loss -13.661656379699707
epochs 25 loss -14.598865509033203
epochs 25 loss -15.548627853393555
epochs 25 loss -13.415243148803711
epochs 25 loss -14.949837684631348
epochs 25 loss -10.788938522338867
epoch 0025 gcn2mind min_ratio 1.0853189853958494 max_ratio 1.1233411397345823 av_ratio 1.1051418815945968
epochs 26 loss -14.349898338317871
epochs 26 loss -15.420802116394043
epochs 26 loss -13.699637413024902
epochs 26 loss -11.891589164733887
epochs 26 loss -12.03885555267334
epochs 26 loss -12.962194442749023
epochs 26 loss -12.128629684448242
epochs 26 loss -13.973729133605957
epochs 26 loss -13.01626968383789
epochs 26 loss -17.86315155029297
epoch 0026 gcn2mind min_ratio 1.0684615384615384 max_ratio 1.1503579952267302 av_ratio 1.1104098886613756
epochs 27 loss -14.06950569152832
epochs 27 loss -13.119552612304688
epochs 27 loss -13.442682266235352
epochs 27 loss -14.58204174041748
epochs 27 loss -12.917673110961914
epochs 27 loss -11.73915958404541
epochs 27 loss -12.319210052490234
epochs 27 loss -17.12375831604004
epochs 27 loss -12.252949714660645
epochs 27 loss -13.71780014038086
epoch 0027 gcn2mind min_ratio 1.0433070866141732 max_ratio 1.1261467889908257 av_ratio 1.103483967084609
epochs 28 loss -13.214339256286621
epochs 28 loss -13.990447998046875
epochs 28 loss -13.83765697479248
epochs 28 loss -12.47398567199707
epochs 28 loss -12.603134155273438
epochs 28 loss -10.806025505065918
epochs 28 loss -11.466586112976074
epochs 28 loss -12.221957206726074
epochs 28 loss -12.265974998474121
epochs 28 loss -13.257264137268066
epoch 0028 gcn2mind min_ratio 1.0818897637795275 max_ratio 1.1384377416860016 av_ratio 1.1054196122511268
epochs 29 loss -14.662300109863281
epochs 29 loss -13.239031791687012
epochs 29 loss -12.639307022094727
epochs 29 loss -11.92841911315918
epochs 29 loss -15.28477668762207
epochs 29 loss -13.295605659484863
epochs 29 loss -11.278722763061523
epochs 29 loss -13.475221633911133
epochs 29 loss -12.707672119140625
epochs 29 loss -10.04814338684082
epoch 0029 gcn2mind min_ratio 1.088074824629774 max_ratio 1.1591089896579156 av_ratio 1.1117085443255235
epochs 30 loss -13.164571762084961
epochs 30 loss -13.822908401489258
epochs 30 loss -11.441082954406738
epochs 30 loss -14.144869804382324
epochs 30 loss -14.140954971313477
epochs 30 loss -13.532903671264648
epochs 30 loss -12.999788284301758
epochs 30 loss -13.02486515045166
epochs 30 loss -12.330907821655273
epochs 30 loss -11.587480545043945
epoch 0030 gcn2mind min_ratio 1.082612116443745 max_ratio 1.1354489164086687 av_ratio 1.110418040622861
epochs 31 loss -12.34000015258789
epochs 31 loss -16.428897857666016
epochs 31 loss -12.074813842773438
epochs 31 loss -16.993112564086914
epochs 31 loss -11.587641716003418
epochs 31 loss -12.751813888549805
epochs 31 loss -15.894119262695312
epochs 31 loss -11.385059356689453
epochs 31 loss -13.49140739440918
epochs 31 loss -11.453718185424805
epoch 0031 gcn2mind min_ratio 1.0904088050314464 max_ratio 1.1283464566929133 av_ratio 1.1107915158908002
epochs 32 loss -10.679596900939941
epochs 32 loss -10.925970077514648
epochs 32 loss -12.265817642211914
epochs 32 loss -11.877034187316895
epochs 32 loss -13.016708374023438
epochs 32 loss -10.196516036987305
epochs 32 loss -14.272579193115234
epochs 32 loss -11.511009216308594
epochs 32 loss -12.154510498046875
epochs 32 loss -10.131637573242188
epoch 0032 gcn2mind min_ratio 1.0814757878554957 max_ratio 1.1495624502784407 av_ratio 1.1116368156794407
epochs 33 loss -11.232776641845703
epochs 33 loss -15.230446815490723
epochs 33 loss -16.347126007080078
epochs 33 loss -12.355835914611816
epochs 33 loss -14.665157318115234
epochs 33 loss -12.444077491760254
epochs 33 loss -16.01800537109375
epochs 33 loss -13.856597900390625
epochs 33 loss -12.533607482910156
epochs 33 loss -13.461816787719727
epoch 0033 gcn2mind min_ratio 1.0771954674220963 max_ratio 1.1249076127124908 av_ratio 1.1071151301051523
epochs 34 loss -13.377880096435547
epochs 34 loss -7.703431606292725
epochs 34 loss -12.654147148132324
epochs 34 loss -17.094646453857422
epochs 34 loss -13.130038261413574
epochs 34 loss -10.832982063293457
epochs 34 loss -11.480334281921387
epochs 34 loss -14.657747268676758
epochs 34 loss -11.952766418457031
epochs 34 loss -16.23444366455078
epoch 0034 gcn2mind min_ratio 1.0761538461538462 max_ratio 1.1455108359133126 av_ratio 1.1027312069505455
epochs 35 loss -11.74583625793457
epochs 35 loss -16.836702346801758
epochs 35 loss -13.07310676574707
epochs 35 loss -12.966511726379395
epochs 35 loss -13.02780818939209
epochs 35 loss -12.967394828796387
epochs 35 loss -11.485790252685547
epochs 35 loss -14.715633392333984
epochs 35 loss -13.666479110717773
epochs 35 loss -12.8505220413208
epoch 0035 gcn2mind min_ratio 1.0829346092503986 max_ratio 1.1307037896365042 av_ratio 1.1066834357921276
epochs 36 loss -12.863449096679688
epochs 36 loss -11.807199478149414
epochs 36 loss -11.790765762329102
epochs 36 loss -13.234243392944336
epochs 36 loss -12.594228744506836
epochs 36 loss -12.643335342407227
epochs 36 loss -13.339522361755371
epochs 36 loss -13.023048400878906
epochs 36 loss -13.609652519226074
epochs 36 loss -15.26059341430664
epoch 0036 gcn2mind min_ratio 1.083274021352313 max_ratio 1.141640866873065 av_ratio 1.111033153850395
epochs 37 loss -17.08533477783203
epochs 37 loss -14.45475959777832
epochs 37 loss -13.152009963989258
epochs 37 loss -12.077281951904297
epochs 37 loss -11.264033317565918
epochs 37 loss -13.141446113586426
epochs 37 loss -11.567956924438477
epochs 37 loss -10.550958633422852
epochs 37 loss -17.68560028076172
epochs 37 loss -15.566479682922363
